Avtosalon,Qiymet,Valyuta,Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti,Yeniləndi,Baxışların sayı,Extra,Etrafli,Sahiblər,Hansı bazar üçün yığılıb,Yerlərin sayı,Qəzalı
0,12900,AZN,Astara,Mercedes,C 220,2000,Sedan,Qara,2.2 L/125 a.g./Dizel,412 454 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,1022,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Kondisioner, Dəri salon, Ksenon lampalar, Yan pərdələr",Temız nemkadı udarı curuyu yoxdu kraskası gul kımıdı salonu selıqelıdır mator most karopka ıdeal vezıyetde kandısoner buz kımı vurur ıkı acarı var ılı temız 2000 cı ıldır ustunde bahalı nomre hedıyye olunacaq alan adama,,,5,
0,5300,AZN,Bakı,Saipa,132,2013,Sedan,Ağ,1.3 L/69 a.g./Benzin,470 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,206,"Yüngül lehimli disklər, ABS, Mərkəzi qapanma, Kondisioner","Mator karopka idealdir.Maşinin satılmağı təcili deyil.bekar,vaxt öldurən adamlar narahat etməsin.barterdə baxır təklifə wp aktivdi",,,5,
0,21800,USD,Bakı,Porsche,Cayenne GTS,2008,Offroader / SUV,Qırmızı,4.8 L/405 a.g./Benzin,74 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,12657,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Arxa görüntü kamerası, Yan pərdələr","Porsche Cayenne GTS - RED Rəng - (Ferrari Rosso Chiaro) Porsche center Baku-dan alinib. İlk sahibiyəm, yürüş 74,000 KM. (100% Original) Rəng dəyən detal yoxdur! (Buferde belə) V8 4.8L GTS-405 at gücü atmosfer mühərrik (turbo deyil). Sürət gutusu - 6 pilləli (tiptronic S) Continental ContiSportContakt 5 295/40 R21 Mühərrik yağı,Filter,ve Şamlar teze dəyişilib. Avtomobil sığortalanıb. Vəziyyəti ideal ,garaj şəraitində saxlanılıb! ----------Endirim eliyəcəm ciddi alıcıya!!! İnterior: Natural italyan dəri və alcantara Rəng ( SAND BEIGE) Komplektasiya: Sport Design package GTS active exhaust (knopka ile acilib baglanan səsboğuçu)Zavod! Porsche Entry & Drive (acarsiz giriş yəni hər qapıda sensor və baqaj düymə ilə acmaq və start stop) Akustika:(BOSE) 13 Dinamik + 1 Sabufer Arxa ve qabaq PARK RADAR Arxa Kamera (açılıb-bağlanan) Otomatik Bagaj Açma Kapama 12 - ədəd Airbag  İşiğ və yagiş sensoru Bİ-XENON Kruiz-Control Klimat-Control Güzgülərin elektrikli tənzimlənməsi,qatlanması və isidilməsi. Yan və salon güzgülərin avtomatik qaralması Oturacaqların isidilməsi və sükan qizdirici Her iki oturacaq memory paketdir. Elektrik sükan tənzimlənməsi Servotronic PASM və Pnevma asqı sistemi PDCC - (Porsche Dynamic Chassis Control) Tam panorama şüşəli dam (açılıb-bağlanan) Arxa pərdə",1,Rəsmi diler,5,
0,45500,AZN,Bakı,Toyota,C-HR,2022,Offroader / SUV,Boz,2.0 L/148 a.g./Benzin,19 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,5449,"Yüngül lehimli disklər, ABS, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Ksenon lampalar, Arxa görüntü kamerası, Oturacaqların ventilyasiyası",Toyota servisdən alınıb Təzə maşındır kasko sığortası var Servisden baxımından  yeni  keçib Bezkraska,1,Avropa,4,
0,16800,AZN,Bakı,Hyundai,Tucson,2008,Offroader / SUV,Qara,2.0 L/141 a.g./Benzin,162 162 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənib", 25.05.2023,564,"Yüngül lehimli disklər, ABS, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Oturacaqların ventilyasiyası",Salam.  Maşın service-dən alınıb . Maşının ikinci sahibiyik. Maşını xanım idarə etdiyinə görə maşın bir balaca üzdən kosmetik işlərə ehtiyacı  var. Mator karopka ideal vəziyyətdədir. Təkərləri təzədir. Akkumlyator təzədir. Hər bir şeyi işlək vəziyyətdədir. Istənilən yerdə yoxlada bilərsiniz. Maşın Lökbatan və Bayıl ərazisində olur. Sənədləri tam qaydasındadır. Orginal yürüşdür . Real alıcıya maşına baxıldıqdan sonra cuzi endirim olunacaq.,2,Koreya,5,
1,16600,AZN,Bakı,Volkswagen,Touareg,2004,Offroader / SUV,Qızılı,4.2 L/310 a.g./Benzin,237 505 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib", 27.05.2023,12072,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Yan pərdələr","HAZIR KREDIT!!! NAGD SATILMIR!! Texpasport 2004 4.2 Benzin Full salon Pnevma islekdir. HAL HAZIRDA OTUR SUR MASINDIR .Kuza, xodovoy super veziyyetde. Mator karobka peredok eladir. Tekerler normaldir. Kosmetika idealdir, salonu seliqelidir. Alici harda isdese yoxlada biler **************************** HAZIR KREDIT!!! ILKIN ODENIS: 5800AZN 29AY 373AZN OZ AVTOMOBILINIZI ILKIN ODENIS OLARAQ BARTER TEKLIF EDE BILERSINIZ Masina BADAMDAR MASIN BAZARININ GIRISINDE ( Yolun qiraginda kohne MIR AVTOSALONUN YERI) her gun 9:00-18:00 - dek baxa bilersiniz",,,,
0,20500,AZN,Bakı,Ford,Explorer,2010,Offroader / SUV,Qara,4.0 L/210 a.g./Benzin,255 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib", 26.05.2023,336,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Arxa görüntü kamerası, Yan pərdələr, Oturacaqların ventilyasiyası",Pul lazım olduğu üçün satılır. Satılmış maşın deyil.,2,Amerika,7,
1,52200,AZN,Bakı,Kia,Sorento,2018,Offroader / SUV,Ağ,2.0 L/185 a.g./Dizel,103 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 26.05.2023,4672,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Arxa görüntü kamerası, Oturacaqların ventilyasiyası","Avtomobilə Otoplaza Mall avtomobil şəhərciyində yerləşən CarPro ikinci əl avtomobillərin satış mərkəzində (Babək pr. Daxili qoşunlar ilə üz-üzə) baxa bilərsiniz. Barter yalnız Hyundai marka avtomobillərlə mümkündü. 20% ilkin ödənişlə daxili kredit şərtləri mövcuddur. İkinci əl avtomobillərin etibarlı satış mərkəzi olan CarPro-ya gəlin, istədiyiniz avtomobili seçin və sərfəli kredit şərtləri ilə əldə edin. Orijinal yürüş məsafəsinə malik avtomobillər, geniş seçim, peşəkar mütəxəssislər, sərfəli şərtlər sizi gözləyir. Üstünlüklərimiz:  Auto Azərbaycan zəmanəti;  İlkin ödəniş 20% olmaqla 36 aylıq daxili kredit  Sürətli rəsmiləşdirmə;  Yüksək keyfiyyətli müştəri xidmətləri;  Geniş seçim imkanları.  Orijinal yürüş məsafəsi  Satış öncəsi peşəkar yoxlanış Babək pr. 61C, Otoplaza Mall",,Koreya,,
0,32500,AZN,Bakı,Kia,Sorento,2014,Offroader / SUV,Qara,2.0 L/184 a.g./Dizel,168 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 26.05.2023,812,"Yüngül lehimli disklər, ABS, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Arxa görüntü kamerası, Yan pərdələr, Oturacaqların ventilyasiyası",Cox ıdeal avtomobıldı … Yurusu tam orıjınaldı … Salonu ve kuzası cox temız ve selıgelıdı . Avtomobıl ölkeye yeni gelib . Yağ ve filterlerı teze deyısılıb . Salonda hec bır detal renglenmeyıb ve tıkılmeyıb ..,1,,5,
0,55500,AZN,Bakı,DAF,105 XF,2011,Dartqı,Ağ,13 L/460 a.g./Dizel,667 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,4548,"Yüngül lehimli disklər, ABS, Yağış sensoru, Mərkəzi qapanma, Kondisioner, Oturacaqların isidilməsi, Ksenon lampalar",Mawin ideal veziyyetdedir!! Retarder Avtomat Distronik (ara mesafesi saxlayan funksiya) 2 bak  Hundur dam 2 spalni Stoyasi pec kondinsioner Tekerler 90% Masin olkeye yeni gelib. Hollandiyadan alinib. Motor (ATE)  karopka ideal veziyyetde. Hec bir problemi yoxdur. Probeqi (orjinal) 667 min km harda isteseniz yoxlatdira bilersiz. Bele probeqli Daf olkede yoxdur belkede. Eger mawinda ne eyer eskiklik olsa qiymetden cixilacaq. Qeyri ciddi sexsler narahat etmesin. Real aliciya qiymetde endirim olacaq.,1,Avropa,3,
0,5000,AZN,Masallı,LADA (VAZ),2106,1997,Sedan,Ağ,1.6 L/75 a.g./Benzin,61 400 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,246,,Maşın salamat maşındı kasmetkaya ehtiyac var Qiymət sondu,1,Digər,5,
0,4500,AZN,Salyan,LADA (VAZ),2106,1991,Sedan,Qara,1.5 L/65 a.g./Benzin,30 000 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənib", 25.05.2023,363,Yüngül lehimli disklər,Masin super vezyetdedi mator teze yigilib curuyu yox yasli adam surub masin salyan Şirvan erazisinde baxmaq olar karopka 5 mator 1.6,2,Digər,,
0,17500,AZN,Sumqayıt,Hyundai,Accent,2011,Sedan,Gümüşü,1.6 L/123 a.g./Benzin,236 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,1121,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Ksenon lampalar, Arxa görüntü kamerası, Yan pərdələr, Oturacaqların ventilyasiyası",Salam 1.6 motor. Cox ekonom masindir benzin serfiyati cox azdi. Masin cox seliqeli surulub hec bir problemi yoxdur. Real alicilar zeng etsin. Masinda vuruq udar hecne yoxdu. Masin polnu fulldu start stop. Acarsiz daxil olma. Lyuk . Her bir funsksiya aktivdir...,2,Avropa,5,
1,37800,USD,Bakı,Toyota,RAV4,2021,Offroader / SUV,Qara,2.5 L/218 a.g./Hibrid,7 886 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,891,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Arxa görüntü kamerası","-----HIBRID-----   TOYOTA RAV-4  Avtomobil Amerikadan getrilib.Avtomobil ideal veziyyetdedir hec bir xerc teleb etmir.Maksimum Komplektasıyadır-Luk,otracaqların avtomatik idare olunmasi,Eco-Normal-Sport tehlukesizlik rejimi,park radar,yaqis sensoru,multi rul,otracaqlarin avtomat idare olunmasi,yan guzgulerde xeberdarliq siqnali,dvd,mp3,aux, ve bir cox ozelliklere sahibdir.  Kredit Lizing sertleri mumkundur  Kredit Emeliyyati Manatla Heyata Kecrilir  1 Illik 18%  2 Illık 22%  3 Illık 22%  Bank Rasxodlari-Kasko Sıgorta 100%+DYP xercleri daxildir  Unvan:Baki 7 mk,Suleyman Sani Axundov Kuc 9",,Amerika,5,
0,26000,AZN,Bakı,Kia,Sorento,2010,Offroader / SUV,Qara,2.0 L/184 a.g./Dizel,205 600 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 26.05.2023,662,"Yüngül lehimli disklər, ABS, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Arxa görüntü kamerası, Yan pərdələr, Oturacaqların ventilyasiyası","Tammmm Boyasızdı…. Hec buferlerınde reng yoxdu… Dunen gelıb … Hec bir xerc teleb etmır .. Salonuda cox svejıdı (. Hec bir yerı ne tıkılıb ., nede renglenıb ) ZAVODDU …",1,Koreya,7,
1,37500,USD,Bakı,Volkswagen,ID.6,2022,Offroader / SUV,Ağ,0.0 L/204 a.g./Elektro,0 km,Avtomat,Arxa,Bəli,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,9246,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Arxa görüntü kamerası, Oturacaqların ventilyasiyası","Volkswagen ID.6 Pro ● 4,891mm × 1,848mm × 1,679mm ● Təkər bazası - 2965 mm ● Batareya tutumu - 84,8 (kWh) ● Maksimal yürüş - 601 km ● Ötürücü - Arxa ● 3 sürüş rejimi - ECO, Comfort, Sport ● Maksimal at gücü - 204 at gücü ● Maksimal dartqı qüvvəsi - 310 Nm ● Transmissiya tipi - Bir pilləli reduktor ● Şüşə proyeksiyası (HUD) ● 12 dyümluq multimedia sistemi ● 30 rəngli gizli interyer işıqları (Ambient light) ● Matrix LED tipli ön işıqlar ● Ön və arxa işıqlı logo ● AFS - Adaptiv ön işıqlar ● Avtomatik uzaqvuran işıqlar ● Adaptiv kruiz kontrol ● Avtomatik əyləc sistemi ● Zolağa nəzarət ● Yol nişanlarını tanıma ● Zolağla hərəkət etmə ● Kor zonaya nəzarət ● Şüşə tavan ● 20 dyümluq disklər ● 7 nəfərlik salon ● Premium dəri interyer ● İsidilən ön və arxa oturacaqlar ● 12 istiqamətdə tənzimlənən yaddaşlı ön oturacaq ● Komfortlu giriş ● Ön oturacaqların masaj funksiyası ● Arxa yığıla bilən oturacaqlar ● Sensorlu multifunksional dəri sükan ● Sükan qızdırıcısı ● Ön və arxa USB ● Arxa kamera ● Ön və arxa park sensorları ● İsofix ● 3 zonalı klima sistemi ● Salon havasının ionlaşdırılması ● Kessy açarsız daxil olma ● Elektrik baqaj ● Baqajın ayaqla açılması ● Telefonun naqilsiz şarjı ● Ön şüşəsilənlərin qızdırıcısı ● Auto Hold ● Elektron əl əyləci ● Yağış sensoru ● Uşaq kilidi ● CarPlay",1,Avropa,7,
0,23500,AZN,Bakı,Mercedes,Vito 115,2005,Minivan,Gümüşü,2.2 L/150 a.g./Dizel,349 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,168,"Yüngül lehimli disklər, ABS, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Yan pərdələr",,1,Avropa,7,
0,11900,AZN,Bakı,BYD,F3,2014,Sedan,Ağ,1.5 L/107 a.g./Benzin,95 300 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 26.05.2023,1491,"Yüngül lehimli disklər, ABS, Lyuk, Mərkəzi qapanma, Park radarı, Kondisioner, Dəri salon","Mashin tam ideal vaziyatdadi BEZKRSKADI TAKSIDA GÀTI SURULMAYIB 3 CU MASHIN KIMI ISTIFADA OLUNUB. Garaj sharaitinda saxlanilir. Matoru TAYOTA SEPLI àn yaxshi dozumlu matordu  VVL deyil. Buraxilish ili 2013, 2015 da salonan alinib tex pasport oz adimdadi.Bir sozla taza mashindi,ozunuza salamat, taza,original probegnan BYD axtarirsizsa buyurub galib baxa bilarsiz istanilan servisda yoxlatdira bilarsiz.Saglam mashin axtaranlar 2020 ila suallari olanlar narahat elasin bosh bekar adamlar narahat etmayin TAKSIDÀ SÙRÙLÀN LESHLÀRNÀN BIR TUTMAYIN  son giymat mashina baxtigdan sonra danishilacag",1,Avropa,5,
0,27400,AZN,Bakı,Hyundai,Sonata,2010,Sedan,Ağ,2.4 L/174 a.g./Benzin,196 660 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənib", 26.05.2023,409,"ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Yan pərdələr, Oturacaqların ventilyasiyası",Hazir lizing. Ilkin odeniw 8000 Azn 35 ayi qalib ayda 555 Azn.Mawin ela veziyyetdedi hal hazirda hec bir xercde teleb etmir istenilen yerdede yoxlatdira bilersiz cox xayiw edirem real alicilar narahat etsin,,Rəsmi diler,5,
0,44900,USD,Bakı,Mercedes,E 200,2019,Sedan,Qara,2.0 L/150 a.g./Dizel,102 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,704,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Arxa görüntü kamerası, Yan pərdələr, Oturacaqların ventilyasiyası",Salam.2 ci maşın kimi sürülüb.ideal vəziyylətdədir.belə maşında prablem axtarmaqa dəyməz.ne sualınız varsa zəng edin.telfonda qiymət söhbəti etməyin zəhmət olmasa.maşına gənclikdə baxa bilərsiz.,1,,,
0,13000,AZN,Bakı,Opel,Astra,2009,Hetçbek,Ağ,1.4 L/90 a.g./Benzin,217 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,271,"Yüngül lehimli disklər, ABS, Mərkəzi qapanma, Kondisioner, Oturacaqların isidilməsi, Yan pərdələr, Oturacaqların ventilyasiyası","Opel Astra H model, Almanyadan 2 il əvvəl gəlib taksidə sürülməyib, Udarı vuruğu dəyişilən detalı qətiyyəm yoxdur. Vaxtı vaxtında qulluğ olunan avtomobildir, Çaşka feredo yenidir,Mator, karobka, xadavoy bir sözlə ideal vəziyyətdədir. Bütün xərcləri qarşılanıb, elektronik funsiyalar bort kompyuter,multi rul,multi media Kondisioner hamısı işlək vəziyyətdədir. 8 ədəd Airbag, yan güzgülərin elektron idarə olunması. Təkərlər Lassa, yeni 4 ədəd kalpak əlavə olarağ salonu ideal vəziyyətdədir cırığı söküyü yoxdur. Özünə səliqəli vuruqsuz maşın axdaranlar maraqlana bilər.",2,Avropa,5,
0,29900,AZN,Bakı,Hyundai,Santa Fe,2014,Offroader / SUV,Yaş Asfalt,2.0 L/265 a.g./Benzin,103 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 23.05.2023,3837,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Arxa görüntü kamerası, Yan pərdələr, Oturacaqların ventilyasiyası","HYUNDAY SANTA FE 2.0 LIMITED EDITION. Самая полная и топовая комплектация. Выпуск с завода 12/2013, куплен в 03/2014 году. Пробег указан в милях. Первый и единственный владелец автомобиль хранился исключительно в гараже. Двигатель 2,0 турбированный. Разгон до 100 км/ч за 7,8 секунд 262 лошадиных сил. Датчики давления шин. Хромированная насадка глушителя. Элэктропривод передних сидений. Подогрев всех сидений. Очень экономичная и мягкая машина. Смешанный расход топлива 8,6 литров. Эксплуатируется на бензине АИ 92. Запчасти очень приемлемые. Абсолютно не битая красились только 1 крыло переднее. Машина как новая. Декоративные вставки из дорогого дерева, полная панорамная крыша, мульти функциональное руль из натуральной кожи, оригинальные R19 диски с новыми колесами Pirelli, адаптивные фары при повороте, светодиодные задние фонари, система адаптивного освещения дороги, система управления дальним светом, комфортные сиденья с ожлождением и подогревом, датчики дождя и света, круиз-контроль, автоматически затемняющиеся, зеркала заднего вида с электроприводом, раздельный климат контроль. MP 3 USB. START STOP функция key less entry, TOUCH SCREEN монитор 13 дюймов, Климат-контроль четырехзональный. Изумительная аудиосистема INFINITY, заводской сабвуфер, 24 колонки аудиосистемы. Театральное звучание. заводская навигация, подключение мобильного телефона через bluetoothe и просмотр видео. Автопилот круиз контроль. Пожалуста перекупщикам и неразбирающимся в автомобилях не звонить, оригинальный пробег, новый аккумулятор с гарантией на 24 месяца, заменены все расходники, оформлена на меня, страховка и тех. осмотр есть.",1,Amerika,5,
0,5800,AZN,Bakı,LADA (VAZ),2104,1999,Universal,Tünd qırmızı,1.5 L/72 a.g./Benzin,70 000 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib", 26.05.2023,396,"Yüngül lehimli disklər, Mərkəzi qapanma, Dəri salon, Yan pərdələr",,,,,
1,36000,USD,Bakı,Mercedes,C 300,2018,Sedan,Qara,2.0 L/245 a.g./Benzin,36 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib", 27.05.2023,15704,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Arxa görüntü kamerası, Yan pərdələr, Oturacaqların ventilyasiyası","Avtomobilin hechbir problemi yoxdu, kor noqte, avtomatik tormozlama sistemi, lyuk, start-stop, svetaforda matorun sonmesi, sidyenka qizdirici, memory paket sidyenkalar, individual-sport plus-sport-comfort-eco rejimleri, 2 zonali klimat kontrol bir sozu en dolu versiyalardan biridi, suda qalmish yarisi olmayan mashinlarla bir tutmayin",0,,,
0,3700,AZN,Bakı,Daewoo,Lanos,2010,Hetçbek,Qara,1.3 L/85 a.g./Benzin,216 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,474,"Yüngül lehimli disklər, ABS, Yağış sensoru, Mərkəzi qapanma, Kondisioner, Oturacaqların isidilməsi, Ksenon lampalar, Yan pərdələr",Maşın gündəlik sürülen masindi normal vezyetdedi mator karopqa yaxşı təkərler normal qiranat təzə dəyişilib maşının xırda xərcləri var zəhmət olmasa zeg vurub 2023 ferrariye aid sualar vermiyin maşınin qiymətinə uyğun sual verin,,,,
0,33900,AZN,Bakı,Kia,Sportage,2014,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,160 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 27.05.2023,320,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Arxa görüntü kamerası, Yan pərdələr, Oturacaqların ventilyasiyası","Diqqet... Polnu FuLL... TAM BOYASIZDIR, Buferinde bele boya yoxdur, qetiyyen... Avtomobil 12. 11. 2014 cü il zavod istehsal tarixidir... Avtomobile yaxından baxış keçirerken sıfır km avtomobil ile ayırd etmek mümkün deyil. EVROPEKADIR, Amerikadan, Dubaydan, gelmiş, orası burası yamanmışlardan, yürüyüşü ellenmişlerden esla deyil, orjinaldır... Qeyd: avtomobilin her hansısa detalında kiçikde olsa zavoddan kenar boya tapana 5.000 AZN ENDİRİM... QEYD: Avtomobilin yürüyüşünde 1 km o teref bu teref olsa avtomobil HEDİYYE olunacaq... Avtomobilin alt hissesi 1 - AZN xerc teleb etmir... KARBON DERİ SALON... Yanacaq serfiyyatı 100 km e ortalama 6-7 litr dizel... Start stop... Keyless go... Ehtiyyat şin tam yenidir... İşlemeyen her hansısa bir düymesi yoxdur ( qetiyyen) ... Kondisaner buz kimi vurur... Aydınlatma sistemi “bi xenon” dur... Sükanın qızdırlıması... Yan güzgülerin qızdırılması... Yan güzgülerin elektronnu açılıb bağlanması... Şinler yeni kimidir... Oturacaqların qızdırılması... Bluetooth... İşıq sensoru... Yağış sensoru... Arxa kamera... Multi sükan... Sükanın aşağı yuxarı, ireli geri hereket funksiyası... Lyuk... Salonun İON laşdırıcı sistemi... Klimat kontrol... Avto pilot... Avtomobilde müherrik, sürerler qutusu, most, elektronika tam yeniden seçilmir... Ön cam zavod üstünde gelendir, heç bir çatı falan yoxdur, ter temizdir... Avtomobilin daxili kimi xaricindede ciziq, batiq, siniq, vuruq, ezik, sökük, sürtük, yamaq, ciriq, chixiq kimi şeyler esla yoxdur, ter temizdir... Avtomobilin üstündeki nömre çıxacaq, sıradan nömre alınıb tehvil verilecek... BARTER mümkündür... LiZiNG, ilkin ödenişin 45 faizi ödenmekle mümkündür... Xaiş edirem ellenmiş, çapılmıiş  leş avtomobillerle muqaise etmeyin... Ümumiyyetle leş axtaranlar narahat etmesin,  İdeal “SPORTAGE"" idare etmek isteyenler buyursun... Elave melumat üçün buyurun zeng edin...",0,Koreya,,
1,68500,USD,Bakı,Land Rover,Discovery,2018,Offroader / SUV,Boz,3.0 L/258 a.g./Dizel,176 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,1439,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Arxa görüntü kamerası, Yan pərdələr, Oturacaqların ventilyasiyası",Hazır kredit “””””””””””” 17500 dollar ilkin ödeniş “””””””””””””””””””””””” 4450 azn 36 ay,2,,4,
0,8500,AZN,Cəlilabad,Renault,Megane,2006,Universal,Gümüşü,1.5 L/105 a.g./Dizel,423 581 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,131,,renault megane,3,Avropa,5,
0,22300,AZN,Bakı,Hyundai,Santa Fe,2009,Offroader / SUV,Qara,2.0 L/184 a.g./Dizel,197 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 27.05.2023,248,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Oturacaqların ventilyasiyası",Mawin ideal veziyyetdedir hec bir problemi yoxdur hec bir xerc teleb etmir arxa baqajda yungul batiq var onuda qiymetde nezere alacam bos bos insanlar ve alverciler narahat elemesin,2,Koreya,7,
0,6200,AZN,Qəbələ,LADA (VAZ),2107,2002,Sedan,Ağ,1.6 L/75 a.g./Benzin,253 280 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib", 26.05.2023,560,"Yüngül lehimli disklər, Mərkəzi qapanma, Yan pərdələr",Maşın ideal vezyetdedir.Heç bir problemi yoxdur.Harda istesez yoxlatdira bilersiz.Butun  rasxodnikleri odenilib yenilenib.Tam dolu maşındır.Bu gun ki gündə bir manat bele olsa xerci teleb etmir.Qiymetde cüzi endirim.olacaq.,3,Rusiya,5,
1,7900,AZN,Bakı,BMW,525,1996,Sedan,Yaş Asfalt,2.5 L/192 a.g./Benzin,338 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib", 21.05.2023,10177,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Yan pərdələr","Maşın tam ideal vəziyyətdədir, Heç bir problemi yoxdur  Udarı vuruqu yoxdur.  Hər bir funksiyası işləkdir. Tək vanuss Kondisioner işlək vəziyyətdədir.  Harda istəsəz yoxlatdıra bilərsiz. Təkərlləri normaldır.  Salonu səliqəlidir.  Mator, karopka, kuza, elektron, və Xadavoy sistemi tam ideal vəziyyətdədir. Kredit və barter mümkündür.",,Avropa,5,
